"id","EntityOne","Relation","EntityTwo","RelationSection","RelationURL","RelationText","URLid","Sentenceid","Relationid","POSinfo","SectionType"
"206355","an app","might create","a new Paint object","ART log messages","https://developer.android.com/studio/profile/investigate-ram.html","For example, an app might create a new Paint object on every draw. ","10752","10752_115","10752_115_1","NN MD VB JJ NN NN","h3"
"217616","Paint","defines","style","Create Drawing Objects","https://developer.android.com/training/custom-views/custom-drawing.html","Simply put, Canvas defines shapes that you can draw on the screen, while Paint defines the color, style, font, and so forth of each shape you draw. ","11080","11080_19","11080_19_2","NN VBZ NN","h2"
"217582","Paint","defines","font","Create Drawing Objects","https://developer.android.com/training/custom-views/custom-drawing.html","Simply put, Canvas defines shapes that you can draw on the screen, while Paint defines the color, style, font, and so forth of each shape you draw. ","11080","11080_19","11080_19_3","NN VBZ NN","h2"
"57332","s","will be taken from","the paint","Summary","https://developer.android.com/reference/android/graphics/Bitmap.html","This may be drawn with Canvas.drawBitmap(), where the color(s) will be taken from the paint that is passed to the draw call. ","1217","1217_367","1217_367_1","NNS MD VB VBN IN NN","h2"
"57437","These values","may be affected by","the optional Paint parameter","Summary","https://developer.android.com/reference/android/graphics/Bitmap.html","These values may be affected by the optional Paint parameter, which can contain its own alpha, and may also contain a MaskFilter which could change the actual dimensions of the resulting bitmap (e.g. ","1217","1217_372","1217_372_1","NNS MD VB VBN IN JJ NN NN","h2"
"57313","the paint","contains","a blur","Summary","https://developer.android.com/reference/android/graphics/Bitmap.html","For example, if the paint contains a blur of radius 2, then offsetXY[] would contains -2, -2, so that drawing the alpha bitmap offset by (-2, -2) and then drawing the original would result in the blur visually aligning with the original. ","1217","1217_375","1217_375_1","NN VBZ NN","h2"
"57458","s","will be taken from","the paint","Summary","https://developer.android.com/reference/android/graphics/Bitmap.html","This may be drawn with Canvas.drawBitmap(), where the color(s) will be taken from the paint that is passed to the draw call. ","1217","1217_383","1217_383_1","NNS MD VB VBN IN NN","h2"
"57769","the paint","contains","a maskfilter","Summary","https://developer.android.com/reference/android/graphics/Canvas.html","Note: if the paint contains a maskfilter that generates a mask which extends beyond the bitmap's original width/height (e.g. ","1226","1226_419","1226_419_1","NN VBZ NN","h2"
"57764","the paint","contains","a maskfilter","Summary","https://developer.android.com/reference/android/graphics/Canvas.html","Note: if the paint contains a maskfilter that generates a mask which extends beyond the bitmap's original width/height (e.g. ","1226","1226_434","1226_434_1","NN VBZ NN","h2"
"57797","the paint","contains","a maskfilter","Summary","https://developer.android.com/reference/android/graphics/Canvas.html","Note: if the paint contains a maskfilter that generates a mask which extends beyond the bitmap's original width/height (e.g. ","1226","1226_448","1226_448_1","NN VBZ NN","h2"
"57841","the paint","must have","a shader","Summary","https://developer.android.com/reference/android/graphics/Canvas.html","If texs is non-null, then it is used to specify the coordinate in shader coordinates to use at each vertex (the paint must have a shader in this case). ","1226","1226_772","1226_772_1","NN MD VB NN","h2"
"58161","A color filter","can be used with","a Paint","ColorFilter","https://developer.android.com/reference/android/graphics/ColorFilter.html","A color filter can be used with a Paint to modify the color of each pixel drawn with that paint. ","1229","1229_4","1229_4_1","NN NN MD VB VBN IN NN","h1"
"58936","This method","will ignore","the paint","Summary","https://developer.android.com/reference/android/graphics/NinePatch.html","This method will ignore the paint returned by getPaint() and use the specified paint instead. ","1256","1256_45","1256_45_1","NN MD VB NN","h2"
"58943","This method","will use","the paint","Summary","https://developer.android.com/reference/android/graphics/NinePatch.html","This method will use the paint returned by getPaint(). ","1256","1256_52","1256_52_1","NN MD VB NN","h2"
"58942","This method","will use","the paint","Summary","https://developer.android.com/reference/android/graphics/NinePatch.html","This method will use the paint returned by getPaint(). ","1256","1256_58","1256_58_1","NN MD VB NN","h2"
"59142","the typeface","set on","the paint","Summary","https://developer.android.com/reference/android/graphics/Paint.html","Determine whether the typeface set on the paint has a glyph supporting the string. ","1263","1263_572","1263_572_1","NN VBN IN NN","h2"
"59046","the typeface","set on","the paint","Summary","https://developer.android.com/reference/android/graphics/Paint.html","boolean hasGlyph ( String string) Determine whether the typeface set on the paint has a glyph supporting the string. ","1263","1263_79","1263_79_2","NN VBN IN NN","h2"
"108153","the typeface","set on","the paint","hasGlyph","https://developer.android.com/reference/android/support/v4/graphics/PaintCompat.html","Determine whether the typeface set on the paint has a glyph supporting the string in a backwards compatible way. ","3391","3391_11","3391_11_1","NN VBN IN NN","h3"
"108152","the typeface","set on","paint","hasGlyph","https://developer.android.com/reference/android/support/v4/graphics/PaintCompat.html","boolean true if the typeface set on the given paint has a glyph for the string. ","3391","3391_16","3391_16_2","NN VBN IN NN","h3"
"108151","the typeface","set on","the paint","hasGlyph","https://developer.android.com/reference/android/support/v4/graphics/PaintCompat.html","static boolean hasGlyph ( Paint paint, String string) Determine whether the typeface set on the paint has a glyph supporting the string in a backwards compatible way. ","3391","3391_6","3391_6_1","NN VBN IN NN","h3"
"110688","static void setLayerPaint","Updates","the Paint object","Summary","https://developer.android.com/reference/android/support/v4/view/ViewCompat.html","static void setLayerPaint ( View view, Paint paint) Updates the Paint object used with the current layer (used only if the current layer type is not set to LAYER_TYPE_NONE ). ","3527","3527_191","3527_191_1","JJ NN NN VBZ NN NN","h2"
"123274","void setPaint","Sets","the paint","setPaint","https://developer.android.com/reference/android/support/wearable/complications/rendering/TextRenderer.html","void setPaint ( TextPaint paint) Sets the paint that will be used to draw the text. ","4021","4021_32","4021_32_1","JJ NN VBZ NN","h3"
"134232","The optional paint","supplied to","this method","Summary","https://developer.android.com/reference/android/view/TextureView.html","The optional paint supplied to this method will however be taken into account when rendering the content of this TextureView. ","4506","4506_219","4506_219_1","JJ NN VBD TO NN","h2"
"134207","void setLayerPaint","Updates","the Paint object","Summary","https://developer.android.com/reference/android/view/TextureView.html","void setLayerPaint ( Paint paint) Updates the Paint object used with the current layer (used only if the current layer type is not set to LAYER_TYPE_NONE ). ","4506","4506_51","4506_51_1","JJ NN VBZ NN NN","h2"
